program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
prio,75,1.911618251,1.911618251,0,"0,1,2,3"
baseline,76,2.467429329,2.467429329,0,"0,1,2,3"
prio,76,1.901321498,1.901321498,0,"0,1,2,3"
baseline,77,2.771848524,2.771848524,0,"0,1,2,3"
prio,77,1.895212416,1.895212416,0,"0,1,2,3"
baseline,78,2.406179026,2.406179026,0,"0,1,2,3"
prio,78,1.909915372,1.909915372,0,"0,1,2,3"
baseline,79,2.351754496,2.351754496,0,"0,1,2,3"
prio,79,1.885877370,1.885877370,0,"0,1,2,3"
baseline,80,2.621486079,2.621486079,0,"0,1,2,3"
prio,80,1.900208467,1.900208467,0,"0,1,2,3"
baseline,81,2.651780511,2.651780511,0,"0,1,2,3"
prio,81,1.887033854,1.887033854,0,"0,1,2,3"
baseline,82,2.584092049,2.584092049,0,"0,1,2,3"
prio,82,1.881161116,1.881161116,0,"0,1,2,3"
baseline,83,2.679548365,2.679548365,0,"0,1,2,3"
prio,83,1.872902966,1.872902966,0,"0,1,2,3"
baseline,84,2.597921439,2.597921439,0,"0,1,2,3"
prio,84,1.912075915,1.912075915,0,"0,1,2,3"
baseline,85,2.643254933,2.643254933,0,"0,1,2,3"
prio,85,1.900683268,1.900683268,0,"0,1,2,3"
baseline,86,2.515228258,2.515228258,0,"0,1,2,3"
prio,86,1.931576527,1.931576527,0,"0,1,2,3"
baseline,87,2.664267276,2.664267276,0,"0,1,2,3"
prio,87,1.860807582,1.860807582,0,"0,1,2,3"
baseline,88,2.546828456,2.546828456,0,"0,1,2,3"
prio,88,1.902464475,1.902464475,0,"0,1,2,3"
baseline,89,2.648412527,2.648412527,0,"0,1,2,3"
prio,89,1.885758902,1.885758902,0,"0,1,2,3"
baseline,90,2.580932215,2.580932215,0,"0,1,2,3"
prio,90,1.894273011,1.894273011,0,"0,1,2,3"
baseline,91,2.465989078,2.465989078,0,"0,1,2,3"
prio,91,1.898328404,1.898328404,0,"0,1,2,3"
baseline,92,2.396201564,2.396201564,0,"0,1,2,3"
prio,92,1.906358930,1.906358930,0,"0,1,2,3"
baseline,93,2.448806549,2.448806549,0,"0,1,2,3"
prio,93,1.899191507,1.899191507,0,"0,1,2,3"
baseline,94,2.332590661,2.332590661,0,"0,1,2,3"
prio,94,1.910671617,1.910671617,0,"0,1,2,3"
baseline,95,2.557327687,2.557327687,0,"0,1,2,3"
prio,95,1.893852958,1.893852958,0,"0,1,2,3"
baseline,96,2.295412192,2.295412192,0,"0,1,2,3"
prio,96,1.909587658,1.909587658,0,"0,1,2,3"
baseline,97,2.636136160,2.636136160,0,"0,1,2,3"
prio,97,1.897066997,1.897066997,0,"0,1,2,3"
baseline,98,2.641930156,2.641930156,0,"0,1,2,3"
prio,98,1.895494213,1.895494213,0,"0,1,2,3"
baseline,99,2.596310200,2.596310200,0,"0,1,2,3"
prio,99,1.903505505,1.903505505,0,"0,1,2,3"
